"ID","Recency..months.","Frequency..times.","Monetary..c.c..blood.","Time..months.","whether.he.she.donated.blood.in.March.2007"
682,4,2,500,46,0
683,11,2,500,25,0
684,11,3,750,37,0
685,16,4,1000,33,0
686,21,7,1750,38,0
687,13,7,1750,76,0
688,16,6,1500,50,0
689,14,3,750,33,0
690,14,1,250,14,0
691,14,1,250,14,0
692,14,1,250,14,0
693,14,1,250,14,0
694,14,1,250,14,0
695,14,1,250,14,0
696,17,7,1750,58,1
697,14,3,750,35,0
698,14,3,750,35,0
699,16,7,1750,64,0
700,21,2,500,21,0
701,16,3,750,35,0
702,16,1,250,16,0
703,16,1,250,16,0
704,16,1,250,16,0
705,16,1,250,16,0
706,16,1,250,16,0
707,14,2,500,29,0
708,11,4,1000,74,0
709,11,2,500,38,1
710,21,6,1500,48,0
711,23,2,500,23,0
712,23,6,1500,45,0
713,14,2,500,35,1
714,16,6,1500,81,0
715,16,4,1000,58,0
716,16,5,1250,71,0
717,21,2,500,26,0
718,21,3,750,35,0
719,21,3,750,35,0
720,23,8,2000,69,0
721,21,3,750,38,0
722,23,3,750,35,0
723,21,3,750,40,0
724,23,2,500,28,0
725,21,1,250,21,0
726,21,1,250,21,0
727,25,6,1500,50,0
728,21,1,250,21,0
729,21,1,250,21,0
730,23,3,750,39,0
731,21,2,500,33,0
732,14,3,750,79,0
733,23,1,250,23,1
734,23,1,250,23,0
735,23,1,250,23,0
736,23,1,250,23,0
737,23,1,250,23,0
738,23,1,250,23,0
739,23,1,250,23,0
740,23,4,1000,52,0
741,23,1,250,23,0
742,23,7,1750,88,0
743,16,3,750,86,0
744,23,2,500,38,0
745,21,2,500,52,0
746,23,3,750,62,0
747,39,1,250,39,0
748,72,1,250,72,0
