"ID","Recency..months.","Frequency..times.","Monetary..c.c..blood.","Time..months.","whether.he.she.donated.blood.in.March.2007"
291,14,4,1000,23,1
292,16,12,3000,50,0
293,11,4,1000,28,0
294,11,5,1250,35,0
295,11,5,1250,35,0
296,2,4,1000,70,0
297,14,5,1250,28,0
298,14,2,500,14,0
299,14,2,500,14,0
300,14,2,500,14,0
301,14,2,500,14,0
302,14,2,500,14,0
303,14,2,500,14,0
304,2,3,750,52,0
305,14,6,1500,34,0
306,11,5,1250,37,1
307,4,5,1250,74,0
308,11,3,750,23,0
309,16,4,1000,23,0
310,16,3,750,19,0
311,11,5,1250,38,0
312,11,2,500,16,0
313,12,9,2250,60,0
314,9,1,250,9,0
315,9,1,250,9,0
316,4,2,500,29,0
317,11,2,500,17,0
318,14,4,1000,26,0
319,11,9,2250,72,1
320,11,5,1250,41,0
321,15,16,4000,82,0
322,9,5,1250,51,1
323,11,4,1000,34,0
324,14,8,2000,50,1
325,16,7,1750,38,0
326,14,2,500,16,0
327,2,2,500,41,0
328,14,16,4000,98,0
329,14,4,1000,28,1
330,16,7,1750,39,0
331,14,7,1750,47,0
332,16,6,1500,35,0
333,16,6,1500,35,1
334,11,7,1750,62,1
335,16,2,500,16,0
336,16,3,750,21,1
337,11,3,750,28,0
338,11,7,1750,64,0
339,11,1,250,11,1
340,9,3,750,34,0
341,14,4,1000,30,0
342,23,38,9500,98,0
343,11,6,1500,58,0
344,11,1,250,11,0
345,11,1,250,11,0
346,11,1,250,11,0
347,11,1,250,11,0
348,11,1,250,11,0
349,11,1,250,11,0
350,11,1,250,11,0
351,11,1,250,11,0
352,11,2,500,21,0
353,11,5,1250,50,0
354,11,2,500,21,0
355,16,4,1000,28,0
356,4,2,500,41,0
357,16,6,1500,40,0
358,14,3,750,26,0
359,9,2,500,26,0
360,21,16,4000,64,0
361,14,6,1500,51,0
362,11,2,500,24,0
363,4,3,750,71,0
364,21,13,3250,57,0
365,11,6,1500,71,0
366,14,2,500,21,1
367,23,15,3750,57,0
368,14,4,1000,38,0
369,11,2,500,26,0
370,16,5,1250,40,1
371,4,2,500,51,1
372,14,3,750,31,0
373,4,2,500,52,0
374,9,4,1000,65,0
375,14,4,1000,40,0
376,11,3,750,40,1
377,14,5,1250,50,0
378,14,1,250,14,0
379,14,1,250,14,0
380,14,1,250,14,0
381,14,1,250,14,0
382,14,1,250,14,0
383,14,1,250,14,0
384,14,1,250,14,0
385,14,1,250,14,0
386,14,7,1750,72,0
387,14,1,250,14,0
388,14,1,250,14,0
389,9,3,750,52,0
390,14,7,1750,73,0
391,11,4,1000,58,0
392,11,4,1000,59,0
393,4,2,500,59,0
394,11,4,1000,61,0
395,16,4,1000,40,0
396,16,10,2500,89,0
397,21,2,500,21,1
398,21,3,750,26,0
399,16,8,2000,76,0
400,21,3,750,26,1
401,18,2,500,23,0
402,23,5,1250,33,0
403,23,8,2000,46,0
404,16,3,750,34,0
405,14,5,1250,64,0
406,14,3,750,41,0
407,16,1,250,16,0
408,16,1,250,16,0
409,16,1,250,16,0
410,16,1,250,16,0
411,16,1,250,16,0
412,16,1,250,16,0
413,16,1,250,16,0
414,16,4,1000,45,0
415,16,1,250,16,0
416,16,1,250,16,0
417,16,1,250,16,0
418,16,1,250,16,0
419,16,1,250,16,0
420,16,2,500,26,0
421,21,2,500,23,0
422,16,2,500,27,0
423,21,2,500,23,0
424,21,2,500,23,0
425,14,4,1000,57,0
426,16,5,1250,60,0
427,23,2,500,23,0
428,14,5,1250,74,0
429,23,3,750,28,0
430,16,3,750,40,0
431,9,2,500,52,0
432,9,2,500,52,0
433,16,7,1750,87,1
434,14,4,1000,64,0
435,14,2,500,35,0
436,16,7,1750,93,0
437,21,2,500,25,0
438,14,3,750,52,0
439,23,14,3500,93,0
440,18,8,2000,95,0
441,16,3,750,46,0
442,11,3,750,76,0
443,11,2,500,52,0
444,11,3,750,76,0
445,23,12,3000,86,0
446,21,3,750,35,0
447,23,2,500,26,0
448,23,2,500,26,0
449,23,8,2000,64,0
450,16,3,750,50,0
451,23,3,750,33,0
452,21,3,750,38,0
453,23,2,500,28,0
454,21,1,250,21,0
455,21,1,250,21,0
456,21,1,250,21,0
457,21,1,250,21,0
458,21,1,250,21,0
459,21,1,250,21,0
460,21,1,250,21,0
461,21,1,250,21,0
462,21,1,250,21,0
463,21,1,250,21,1
464,21,1,250,21,0
465,21,1,250,21,0
466,21,5,1250,60,0
467,23,4,1000,45,0
468,21,4,1000,52,0
469,22,1,250,22,1
470,11,2,500,70,0
471,23,5,1250,58,0
472,23,3,750,40,0
473,23,3,750,41,0
474,14,3,750,83,0
475,21,2,500,35,0
476,26,5,1250,49,1
477,23,6,1500,70,0
478,23,1,250,23,0
479,23,1,250,23,0
480,23,1,250,23,0
481,23,1,250,23,0
482,23,1,250,23,0
483,23,1,250,23,0
484,23,1,250,23,0
485,23,1,250,23,0
486,23,4,1000,53,0
487,21,6,1500,86,0
488,23,3,750,48,0
489,21,2,500,41,0
490,21,3,750,64,0
491,16,2,500,70,0
492,21,3,750,70,0
493,23,4,1000,87,0
494,23,3,750,89,0
495,23,2,500,87,0
496,35,3,750,64,0
497,38,1,250,38,0
498,38,1,250,38,0
499,40,1,250,40,0
500,74,1,250,74,0
